"casenum","fileid","year","month","day","cite","vol","beginpg","endopin","endpage","docnum","multdoc","method","circuit","state","district","origin","source","distjudg","applfrom","adminrev","priorpub","opinstat","treat","classact","crossapp","majvotes","dissent","concur","counsel1","counsel2","amicus","sanction","initiate","interven","numappel","appnatpr","appbus","appnonp","appfed","appsubst","appstate","appfiduc","ap_stid","genapel1","bank_ap1","genapel2","bank_ap2","appel1","appel2","realapp","numresp","r_natpr","r_bus","r_nonp","r_fed","r_subst","r_state","r_fiduc","r_stid","respond1","respond2","realresp","genresp1","genresp2","bank_r1","bank_r2","const1","const2","usc1","usc1sect","usc2","usc2sect","civproc1","civproc2","crmproc1","crmproc2","juris","statecl","standing","mootness","exhaust","timely","immunity","frivol","polquest","oththres","late","frivapp","othappth","constit","fedlaw","procedur","typeiss","prejud","insane","improper","juryinst","othjury","deathpen","sentence","indict","confess","search","othadmis","plea","counsel","rtcouns","suffic","indigent","entrap","procdis","othcrim","dueproc","execord","stpolicy","weightev","pretrial","trialpro","post_trl","attyfee","judgdisc","altdisp","injunct","summary","fedvst","foreign","int_law","st_v_st","discover","othcivil","subevid","denovo","erron","capric","abusedis","judrev","genstand","notice","alj","agen_acq","freeinfo","comment","record","diverse","whlaws","casetyp1","geniss","direct1","casetyp2","direct2","habeas","decuncon","unan","signed","codej1","codej2","j2vote1","j2vote2","j2maj1","j2maj2","codej3","j3vote1","j3vote2","j3maj1","j3maj2","codej4","j4vote1","j4vote2","j4maj1","j4maj2","codej5","j5vote1","j5vote2","j5maj1","j5maj2","codej6","j6vote1","j6vote2","j6maj1","j6maj2","codej7","j7vote1","j7vote2","j7maj1","j7maj2","codej8","j8vote1","j8vote2","j8maj1","j8maj2","codej9","j9vote1","j9vote2","j9maj1","j9maj2","codej10","j10vote1","j10vote2","j10maj1","j10maj2","codej11","j11vote1","j11vote2","j11maj1","j11maj2","codej12","j12vote1","j12vote2","j12maj1","j12maj2","codej13","j13vote1","j13vote2","j13maj1","j13maj2","codej14","j14vote1","j14vote2","j14maj1","j14maj2","codej15","j15vote1","j15vote2","j15maj1","j15maj2","govt","pagelgth","multiple","resstate","polques","j16maj1","j16vote1","docknum","sample","supct","Circuit","Year","Circuit_Cases","year_circuit_cases","sample_cases","year_sample_cases","circuit_proportion","sample_proportion","weighting"
17986,"B0696MH1",1996,6,14,"3086/0564",3086,564,574,582,95005203,1,1,6,42,1,1,1,10659,1,15,"",1,1,0,0,3,0,1,3,5,0,4,2,NA,1,1,0,0,0,0,0,0,NA,7,2,NA,NA,71001,NA,0,1,0,0,0,1,0,0,0,NA,39000,NA,0,3,NA,2,NA,1,105,18,922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,1,1,NA,NA,0,0,1,1,649,609,1,NA,1,NA,647,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,8,NA,NA,NA,NA,NA,NA,NA,6,96,404,6299,30,360,0.0641371646293062,0.0833333333333333,0.769645975551675
17987,"B0696MH1",1996,3,25,"3078/1144",3078,1144,1152,1152,94004210,1,1,6,35,6,4,1,10699,10,15,"182BR759",1,1,0,0,3,0,0,4,5,0,4,2,NA,1,1,0,0,0,0,0,0,NA,7,2,NA,NA,71005,NA,0,1,0,0,0,1,0,0,0,NA,39001,NA,0,3,NA,2,NA,0,0,42,292,11,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741,7,1,906,1,0,0,1,1,10684,635,1,1,1,1,649,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,NA,NA,NA,NA,NA,NA,NA,6,96,404,6299,30,360,0.0641371646293062,0.0833333333333333,0.769645975551675
17988,"B0696MH1",1996,3,14,"3078/0251",3078,251,256,256,95004166,1,1,6,35,6,1,1,20668,10,15,"",1,6,0,0,3,0,0,4,5,0,4,2,NA,1,0,1,0,0,0,0,0,NA,1,2,NA,NA,14901,NA,0,1,0,0,0,1,0,0,0,NA,39001,NA,0,3,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903,9,2,NA,NA,0,0,1,1,620,645,2,NA,1,NA,10639,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,NA,NA,NA,NA,NA,NA,NA,6,96,404,6299,30,360,0.0641371646293062,0.0833333333333333,0.769645975551675
17989,"B0696MH1",1996,6,17,"3091/0788",3091,788,790,790,96003505,1,1,6,55,0,6,6,99999,12,14,"",2,8,0,0,3,0,0,4,5,0,4,2,NA,1,1,0,0,0,0,0,0,NA,7,2,NA,NA,71020,NA,0,1,0,0,0,1,0,0,0,NA,35005,NA,0,3,NA,2,NA,0,0,8,1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,241,2,1,NA,NA,0,0,1,0,619,609,1,NA,1,NA,634,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,6,96,404,6299,30,360,0.0641371646293062,0.0833333333333333,0.769645975551675
17990,"B0696MH1",1996,2,23,"3076/0751",3076,751,762,762,94001903,1,7,6,22,2,1,1,10653,10,15,"858FS674",1,6,0,0,3,0,0,4,6,0,4,1,NA,3,0,3,0,0,0,0,0,NA,1,2,NA,NA,14400,NA,0,2,0,0,0,0,0,2,0,22,52004,53003,0,5,5,2,2,0,0,29,1144,28,1341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,7,3,NA,NA,0,0,1,1,620,605,3,NA,1,NA,614,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0,NA,NA,NA,NA,NA,NA,NA,6,96,404,6299,30,360,0.0641371646293062,0.0833333333333333,0.769645975551675
17991,"B0696MH1",1996,8,29,"3094/0236",3094,236,242,242,95005063,1,1,6,17,2,1,1,10602,5,15,"",1,1,0,0,3,0,0,4,7,0,4,1,NA,147,147,0,0,0,0,0,0,NA,7,2,NA,NA,72005,NA,0,3,0,1,0,0,0,0,2,NA,12705,81008,0,1,8,2,2,0,0,29,1002,29,1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,6,1,NA,NA,0,0,1,1,10661,639,1,NA,1,NA,635,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,NA,NA,NA,NA,NA,NA,NA,6,96,404,6299,30,360,0.0641371646293062,0.0833333333333333,0.769645975551675
17992,"B0696MH1",1996,7,26,"3090/1160",3090,1160,1172,1172,94006109,1,1,6,42,2,1,1,10681,1,15,"",1,6,0,1,3,0,0,4,4,0,4,2,NA,1,0,1,0,0,0,0,0,NA,1,2,NA,NA,12503,NA,0,1,1,0,0,0,0,0,0,NA,71205,NA,0,7,NA,2,NA,0,0,42,2000,42,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,2,2,NA,NA,0,0,1,1,603,618,1,NA,1,NA,20651,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0,NA,NA,NA,NA,NA,NA,NA,6,96,404,6299,30,360,0.0641371646293062,0.0833333333333333,0.769645975551675
17993,"B0696MH1",1996,5,28,"3084/0215",3084,215,222,222,94003898,1,1,6,55,0,6,6,99999,12,14,"",1,1,0,0,3,0,0,4,5,0,4,1,NA,2,2,0,0,0,0,0,0,NA,7,2,7,2,71020,73020,0,1,0,0,0,1,0,0,0,NA,35005,NA,0,3,NA,2,NA,105,0,8,1253,8,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,241,2,1,NA,NA,0,0,1,1,603,618,1,NA,1,NA,20651,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,NA,NA,NA,NA,NA,NA,NA,6,96,404,6299,30,360,0.0641371646293062,0.0833333333333333,0.769645975551675
17994,"B0696MH1",1996,4,18,"3082/0126",3082,126,130,130,94002093,1,1,6,22,1,1,1,20615,3,15,"",1,1,0,0,3,0,0,4,4,0,4,2,NA,1,0,0,0,0,0,0,1,NA,8,2,NA,NA,81004,NA,0,1,1,0,0,0,0,0,0,NA,73000,NA,0,7,NA,2,NA,0,0,29,1001,29,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733,7,3,NA,NA,0,0,1,1,613,620,0,NA,1,NA,645,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,6,96,404,6299,30,360,0.0641371646293062,0.0833333333333333,0.769645975551675
17995,"B0696MH1",1996,4,8,"3080/1107",3080,1107,1119,1120,94006042,1,1,6,42,4,1,1,10693,1,15,"",1,6,0,0,2,1,0,6,4,0,4,2,NA,1,0,0,0,0,1,0,0,42,4,2,NA,NA,47002,NA,0,1,1,0,0,0,0,0,0,NA,71205,NA,0,7,NA,2,NA,0,0,42,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,2,2,NA,NA,0,0,2,1,623,639,2,NA,1,NA,620,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,1,NA,NA,NA,NA,NA,NA,NA,6,96,404,6299,30,360,0.0641371646293062,0.0833333333333333,0.769645975551675
