casenum,year,citevol,beginpage,endopin,endpage,decisiondate,docketnum,multdoc,source,origin,method,treatment,initiator,intervenor,applfrom,classaction,crossapp,amicus,circuit,opinionstatus,state,district,districtjudgeid,adminreview,priorpub,sanctions,numappel,appnatpr,appbus,appnonp,appfed,appsubst,alst_code,appstate,astate_code,appfiduc,afirms,aatty,aattyfirstname,aattylastname,afirmname,aamicusbriefs,agroups,afirstlistedamicusgroup,genappel1,appel1,bank_ap1,genappel2,appel2,bank_ap2,realapplnts,acounsel1,numresp,r_natpr,r_bus,r_nonp,r_fed,r_appsubst,rlst_code,r_state,statecode,rfiduc,rfirms,ratty,rattyfirstname,rattylastname,rfirmname,ramicusbrfs,rgroups,rnameoffirstlistedamicusgroup,genresp1,respond1,bank_r1,genresp2,respond2,bank_r2,realrespondants,rcounselcode,isstyp,genissue,casetype1,direct1,casetype2,direct2,majvotes,dissent,concur,dmbasis,cmbasis,cmbasis2,dpbasis,cpbasis,cpbasis2,habes,decon,constit,fedlaw,fedlaw2,procedure,keynotes,constnote1,constnote2,uscnote1,uscsec1,uscnote2,uscsec2,civproc1,civproc2,crmproc1,crmproc2,threshgen,turnthresh,juris,stateclaim,standing,mootness,exhaust,timely,immunity,frivol,polquest,otherres,late,frivapp,otherapp,typeissue,prejud,insane,improper,justyinst,othjury,deathpen,sentence,indict,confess,search,othadmis,plea,inadqecounsel,rtcouns,suffic,indigent,entrap,procdis,othercrim,dueproc,execord,stpolicy,weightev,pretrial,trialpro,posttrial,attyfee,judgdisc,altdisp,injunct,summary,fedvst,foreign,intlaw,stvst,discover,othercivil,subevid,denovo,capricious,erroneous,abusediscr,judreview,genstd,notice,alj,agencyacq,freeinfo,comment,record,diverse,whichlaw,j1,j2,j2vote1,j2vote2,j2maj1,j2maj2,j3,j3vote1,j3vote2,j3maj1,j3maj2,j4,j4vote1,j4vote2,j4maj1,j4maj2,j5,j5vote1,j5vote2,j5maj1,j5maj2,j6,j6vote1,j6vote2,j6maj1,j6maj2,j7,j7vote1,j7vote2,j7maj1,j7maj2,j8,j8vote1,j8vote2,j8maj1,j8maj2,j9,j9vote1,j9vote2,j9maj1,j9maj2,j10,j10vote1,j10vote2,j10maj1,j10maj2,j11,j11vote1,j11vote2,j11maj1,j11maj2,j13,j13vote1,j13vote2,j13maj1,j13maj2,j14,j14vote1,j14vote2,j14maj1,j14maj2,j15,j15vote1,j15vote2,j15maj1
20001,1997,124,243,251,251,08/18/97,97-1065,1,1,1,1,1,1,0,3,0,0,0,1,1,52,7,10144,15,,0,2,2,0,0,0,0,0,0,0,0,1,1,Jose L,Rivero Vergne,,0,0,0,7,71805,2,7,73805,2,0,4,1,0,1,0,0,0,0,0,0,0,1,1,Nilda,Navarro-Cabirer,,0,0,,1,14906,2,,,,0,4,0,2,282,1,,,3,0,0,,,,,,,0,0,0,0,1,0,21,,,29,621,,,56,28,,0,3,1,1,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,114,1,,1,,120,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20002,1997,127,118,122,122,09/16/97,97-1054,1,1,1,1,1,1,0,3,0,0,0,1,1,19,7,10186,14,944 F Supp 38,0,1,0,0,1,0,0,0,0,0,0,1,1,Michael A,Duddy,"Kozak, Gayer, Brodek",0,0,0,2,22006,2,,,,0,4,2,0,0,0,2,0,0,0,0,0,1,1,Allison C,Giles,Dept of Justice,0,0,,3,31007,2,3,31007,2,0,5,0,7,751,1,,,3,0,0,,,,,,,0,0,0,0,1,0,6,,,42,254,5,553,,,,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,115,106,1,,1,,120,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20003,1997,123,10,23,23,08/11/97,96-2149,1,1,1,1,4,1,0,3,0,0,0,1,1,52,7,10129,15,935 F Supp 71,0,4,4,0,0,0,0,0,0,0,0,99,1,Kevin G,Little,,0,0,0,7,73805,2,7,73850,2,0,4,2,1,1,0,0,0,0,0,0,0,2,4,Joe W,Redden,"Berk, Redden, Secrest",0,0,,7,73800,2,1,11403,2,0,4,0,7,722,1,,,3,0,0,,,,,,,0,0,0,0,0,0,22,,,,,,,28,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10129,114,1,,1,,118,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20004,1997,132,104,110,110,12/22/97,97-9005,1,17,4,1,11,2,0,12,0,0,0,1,1,55,0,,15,,0,1,0,1,0,0,0,0,0,0,0,1,2,Duane L,Coleman,"Lewis, Rice, Fingersh",0,0,0,1,13910,2,,,,0,4,2,0,1,0,0,0,0,0,0,1,1,2,Daniel C,Cohn,"Cohn, Kelakos",0,0,,1,13610,1,8,81001,2,2,4,0,7,742,3,,,3,0,0,,,,,,,0,0,0,0,1,0,8,,,11,547,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,107,3,,1,,121,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20005,1997,131,241,255,259,12/09/97,96-1623,1,1,1,4,1,1,0,3,0,0,8,1,1,21,7,10189,15,39 F3rd 1167,0,1,1,0,0,0,0,0,0,0,0,99,3,John W,Spillane,,99,99,,7,71005,2,,,,0,4,10,0,0,0,0,10,21,0,0,0,1,3,Adam P,Forman,"Testa , Hurwitz, Thibeaul",99,99,National School Board Assoc,4,47002,2,4,42003,2,0,4,0,3,306,1,,,6,0,2,,3,1,,0,1,0,0,1,1,1,0,9,101,114,42,1983,,,,,,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,114,1,,1,,120,1,,1,,104,1,,1,,121,1,,3,,115,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20006,1997,104,472,483,483,01/08/97,96-1287,1,1,1,1,1,1,0,6,0,0,0,1,1,39,7,10104,15,,0,1,1,0,0,0,0,0,0,0,0,1,2,Bruce,Todesa,Legal Research and Writing,0,0,0,7,73005,2,,,,0,4,2,0,2,0,0,0,0,0,0,0,1,2,Gerald C,Demana,"Higgins, Cavanaugh, Cooney",0,0,,1,13041,2,1,13001,2,2,4,0,7,722,1,,,3,0,0,,,,,,,0,0,0,0,0,1,17,,,,,,,59,50,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,115,1,,1,,104,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20007,1997,127,184,189,189,10/09/97,96-2328,2,1,1,1,1,1,2,3,0,1,0,1,1,39,7,10104,14,928 F Supp 155,0,1,1,0,0,0,0,0,0,0,0,1,1,John W,Dineen,"Yesser, Glasson, Dineen",0,0,0,7,73805,2,,,,0,4,3,0,0,1,1,0,0,1,39,0,3,7,Scott,Glabman,Solicitors Office,0,0,,3,31011,2,5,54005,2,0,5,0,3,304,1,283,0,3,0,0,,,,,,,0,0,1,0,1,1,6,101,114,26,3301,28,1341,,,,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,106,1,,1,,120,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20008,1997,130,477,481,481,11/17/97,97-1477,1,1,8,1,4,1,0,3,0,0,0,1,1,21,7,10192,15,,0,3,3,0,0,0,0,0,0,0,0,1,1,Stweart T,Graham JR,"Graham, Graham",0,0,0,7,71005,2,7,73005,2,0,4,2,0,0,0,0,1,21,1,21,0,2,3,Judy,Zeprun Kalman,Mass Atty Gen,0,0,,5,53008,2,4,41002,2,0,6,0,2,281,1,,,3,0,0,,,,,,,0,0,0,0,0,0,9,3,101,20,1400,,,56,,,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,121,1,,1,,106,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20009,1997,111,1,2,2,04/10/97,95-2221,1,1,1,1,1,2,0,1,0,0,0,1,2,21,7,10184,15,,0,1,1,0,0,0,0,0,0,0,0,1,1,Diana L,Maldonado,Federal Defenders Office,0,0,0,7,71000,2,,,,0,3,1,0,0,0,1,0,0,0,0,0,1,2,Donald K,Stern,US Atty Office,0,0,,3,39000,2,,,,0,5,0,1,113,1,,,3,0,0,,,,,,,0,0,0,0,1,0,2,,,18,922,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,106,1,,1,,120,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20010,1997,119,46,55,55,07/18/97,96-1845,1,1,4,1,11,1,0,1,0,0,0,1,1,21,7,10187,15,"164 BR 419, 423",0,1,0,0,0,0,0,0,0,0,1,1,2,Claudia J,Reed,"Cohen, Rosenthal",0,0,0,8,81002,2,,,,0,4,1,1,0,0,0,0,0,0,0,0,1,2,Jospeh I,Schindler,"Klieman, Lyons Schindler, Gorss, Pabian",0,0,,7,71003,1,,,,0,4,0,7,741,2,,,3,0,0,,,,,,,0,0,0,0,9,9,12,,,,,,,15,59,,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,120,2,,1,,122,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
